商品名,商品コード,商品ラベルID,SKUコード,マスターSKU商品の指定,単品・定期,ステータス,販売中,公開開始日,公開終了日,通常価格,販売価格,税率設定ID,詳細,詳細（モバイル）,規格名1,分類名1,規格名2,分類名2,規格名3,分類名3,送料の個別設定ID,支払い手数料の個別設定ID,同梱物,注文毎の購入制限数,購入数の下限,購入数の上限,顧客毎の購入制限数,未成年者の購入制限,未成年者の設定,同梱物の購入制限,ポイント交換,変更可能SKUグループID,原価,大きさ,会員ランク制御,注意喚起文（画面上部）,注意喚起文,支払い方法割引設定（支払い方法ID）,支払い方法割引設定（割引額）,支払い方法割引設定（割引率）,支払い方法割引設定（初回のみ）,詳細（サブ）,詳細（サブ、モバイル）,メタディスクリプション,メタキーワード,新着フラグ,セールフラグ,購入画面への表示,メール画面への表示,帳票への表示,メーカーID,カテゴリーID,商品画像,SKU商品画像1,SKU商品画像2,SKU商品画像3,SKU商品画像4,SKU商品画像5,定期お約束回数,配送サイクル,何ヶ月ごとの何日に配送,何日ごとに配送,何ヶ月ごとの何回目の何曜日に配送,選択可能間隔（日付・曜日）,選択可能間隔（間隔）,連携用商品番号,連携用SKU番号,自由入力1,自由入力2,自由入力3,自由入力4,自由入力5,自由入力6,自由入力7,自由入力8,自由入力9,自由入力10
農薬不使用デコポン,product-v-113,,product-v-113,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柚子,product-v-114,,product-v-114,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スダチ＊200g,product-v-115,,product-v-115,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小梅,product-v-116,,product-v-116,,0,active,0,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄梅,product-v-117,,product-v-117,,0,active,0,,,600,600,,,,,,,,,,,,,,,,,,,,,,600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梅干しセット【６月１０日（土）前後頃より順次発送】,product-v-118,,product-v-118,,0,active,0,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【期間限定】農薬不使用南高梅M?２Lサイズ＊１kg,product-v-119,,product-v-119,,0,inactive,0,,,1620,1620,,,,,,,,,,,,,,,,,,,,,,1620,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【期間限定】自然栽培の無選別青梅M?Lサイズ前後＊１kg（配送日指定不可）,product-v-120,,product-v-120,,0,inactive,0,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山椒＊100g,product-v-121,,product-v-121,,0,active,1,,,440,440,,,,,,,,,,,,,,,,,,,,,,440,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月胡麻（生）,product-v-122,,product-v-122,,0,active,0,,,660,660,,,,,,,,,,,,,,,,,,,,,,660,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【EDAMAME】枝豆（自然農・減農薬）＊200g,product-v-123,,product-v-123,,0,active,1,,,360,360,,,,,,,,,,,,,,,,,,,,,,360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【今だけ】農薬不使用そら豆＊600g,product-v-124,,product-v-124,,0,inactive,0,,,500,500,,,,,,,,,,,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【今だけ】自然農絹さやえんどう・スナップエンドウ＊100?150g,product-v-125,,product-v-125,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
減農薬インゲン＊150g,product-v-126,,product-v-126,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
バターナッツ１個,product-v-127,,product-v-127,,0,inactive,0,,,400,400,,,,,,,,,,,,,,,,,,,,,,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
島かぼちゃ＊1kg（個体差があります）,product-v-128,,product-v-128,,0,inactive,0,,,330,330,,,,,,,,,,,,,,,,,,,,,,330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１／２ズッキーニ（自然農）１本＊２００g?,product-v-129,,product-v-129,,0,inactive,0,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
減農薬カボチャ＊1／4カット?１個（約１.５kg前後）,product-v-130,,product-v-130,,0,active,1,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農オクラ＊100g,product-v-131,,product-v-131,,0,active,1,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用ゴーヤ（2本前後）,product-v-132,,product-v-132,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
干し赤唐辛子（自然農）,product-v-133,,product-v-133,,0,inactive,0,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農甘長トウガラシ＊150g,product-v-134,,product-v-134,,0,active,1,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農パプリカ１?２個,product-v-135,,product-v-135,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
米ナス☆300g（重量は多少変わる場合がございます。）,product-v-136,,product-v-136,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ローフード仕様！水茄子４本前後,product-v-137,,product-v-137,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
翡翠（白）茄子１?２本＊約300g前後,product-v-138,,product-v-138,,0,inactive,0,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とろりんa.k.aロッサビアンコ,product-v-139,,product-v-139,,0,inactive,0,,,165,165,,,,,,,,,,,,,,,,,,,,,,165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農調理・加工用トマト【シシリアンルージュ】＊200g?1kg,product-v-140,,product-v-140,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カラフルミニトマト,product-v-141,,product-v-141,,0,active,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フルーツトマト＊１kg,product-v-142,,product-v-142,,0,inactive,0,,,1550,1550,,,,,,,,,,,,,,,,,,,,,,1550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
トマトセット,product-v-143,,product-v-143,,0,active,0,,,1000,1000,,,,,,,,,,,,,,,,,,,,,,1000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【６月２９日木曜収穫】１５本！ヒゲも食べてね今だけベビーコーン,product-v-144,,product-v-144,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
減農薬スイートコーン３?４本＊約900g,product-v-145,,product-v-145,,0,active,1,,,750,750,,,,,,,,,,,,,,,,,,,,,,750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【今だけ】農薬不使用スイートコーン『甘々娘』＊約300g（６月末?７月頭頃発送予定＊前倒し可能性有）,product-v-146,,product-v-146,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
春の七草セット【１月６日発送分のみ】,product-v-147,,product-v-147,,0,inactive,0,,,440,440,,,,,,,,,,,,,,,,,,,,,,440,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天然よもぎ（未調整・選別・乾燥）＊１０g?５００g,product-v-148,,product-v-148,,0,active,1,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こごみ,product-v-149,,product-v-149,,0,inactive,0,,,216,216,,,,,,,,,,,,,,,,,,,,,,216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天然ワラビ＊150g,product-v-150,,product-v-150,,0,active,1,,,330,330,,,,,,,,,,,,,,,,,,,,,,330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
お任せ山菜セット（重量は内容により変動いたします。）,product-v-151,,product-v-151,,0,inactive,0,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ズイキ,product-v-152,,product-v-152,,0,inactive,0,,,200,200,,,,,,,,,,,,,,,,,,,,,,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三つ葉,product-v-153,,product-v-153,,0,inactive,0,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農バジル＊50g,product-v-154,,product-v-154,,0,inactive,0,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤シソ（自然農・農薬不使用）＊200?350g,product-v-155,,product-v-155,,0,active,1,,,400,400,,,,,,,,,,,,,,,,,,,,,,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青シソ＊２０枚（自然農・農薬不使用）,product-v-156,,product-v-156,,0,active,1,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イタリアンパセリ,product-v-157,,product-v-157,,0,inactive,0,,,165,165,,,,,,,,,,,,,,,,,,,,,,165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パセリ（自然農・減農薬）,product-v-158,,product-v-158,,0,inactive,0,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セロリ（減農薬）,product-v-159,,product-v-159,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【今だけ】自然農ニンニクの芽＊100g,product-v-160,,product-v-160,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ニラ（自然農・減農薬）＊100g,product-v-161,,product-v-161,,0,active,1,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用アスパラガス＊100g,product-v-162,,product-v-162,,0,active,1,,,280,280,,,,,,,,,,,,,,,,,,,,,,280,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農蕾菜（祝蕾）,product-v-163,,product-v-163,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ノ・ラ・ボーナ,product-v-164,,product-v-164,,0,inactive,0,,,180,180,,,,,,,,,,,,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ほんのりプチ塩アイスプラント,product-v-165,,product-v-165,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オカヒジキ,product-v-166,,product-v-166,,0,inactive,0,,,165,165,,,,,,,,,,,,,,,,,,,,,,165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農モロヘイヤ＊150g,product-v-167,,product-v-167,,0,active,1,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農ツルムラサキ＊200g,product-v-168,,product-v-168,,0,active,1,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東南アジアのほうれん草！自然農空芯菜＊150g,product-v-169,,product-v-169,,0,active,1,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農大根葉＊200g,product-v-170,,product-v-170,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ルッコラ（自然農）,product-v-171,,product-v-171,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ロマネスコ,product-v-172,,product-v-172,,0,inactive,0,,,360,360,,,,,,,,,,,,,,,,,,,,,,360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カリフローレ,product-v-173,,product-v-173,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カリフラワー,product-v-174,,product-v-174,,0,inactive,0,,,360,360,,,,,,,,,,,,,,,,,,,,,,360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用黒キャベツ（カーボロネロ）＊150g,product-v-175,,product-v-175,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農ツクヨミサラダセット＊150g,product-v-176,,product-v-176,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無農薬「島」らっきょの塩漬け☆１kg,product-v-177,,product-v-177,,0,inactive,0,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,1500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今だけ！銀砂らっきょ,product-v-178,,product-v-178,,0,inactive,0,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,1500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用島らっきょう＊100g,product-v-179,,product-v-179,,0,inactive,0,,,330,330,,,,,,,,,,,,,,,,,,,,,,330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【欠品可能性有】みょうが,product-v-180,,product-v-180,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１日１粒、生サプリ。無添加フルーツニンニク,product-v-181,,product-v-181,,0,inactive,0,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用ニンニク＊バラ（約50g前後）,product-v-182,,product-v-182,,0,active,1,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牛蒡１本＊約200g（個体差があります）,product-v-183,,product-v-183,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用ジャガイモ＊750?800g,product-v-184,,product-v-184,,0,active,1,,,330,330,,,,,,,,,,,,,,,,,,,,,,330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農春ジャガ＊１kg,product-v-185,,product-v-185,,0,inactive,0,,,400,400,,,,,,,,,,,,,,,,,,,,,,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用赤玉ねぎ２?３個＊500g,product-v-186,,product-v-186,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用玉ねぎ＊550g?１kg,product-v-187,,product-v-187,,0,active,1,,,330,330,,,,,,,,,,,,,,,,,,,,,,330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農固定種玉ねぎ＊約１kg,product-v-188,,product-v-188,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
切り干し人参,product-v-189,,product-v-189,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農人参＊450?500g,product-v-190,,product-v-190,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農ラディッシュ,product-v-191,,product-v-191,,0,inactive,0,,,220,220,,,,,,,,,,,,,,,,,,,,,,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
切り干し大根（減農薬）,product-v-192,,product-v-192,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King of サツマイモ！鳴門金時,product-v-193,,product-v-193,,0,inactive,0,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【シルクスイート】農薬不使用さつま芋＊約450?500g,product-v-194,,product-v-194,,0,inactive,0,,,350,350,,,,,,,,,,,,,,,,,,,,,,350,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さくら茶☆【数量限定！】,product-v-195,,product-v-195,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地鶏の旨み（阿波尾鶏の削り節）,product-v-196,,product-v-196,,0,active,0,,,770,770,,,,,,,,,,,,,,,,,,,,,,770,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島小麦のパンケーキミックス,product-v-197,,product-v-197,,0,active,0,,,650,650,,,,,,,,,,,,,,,,,,,,,,650,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100%無添加純粋蜂蜜＊500g,product-v-198,,product-v-198,,0,inactive,0,,,3000,3000,,,,,,,,,,,,,,,,,,,,,,3000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度自然農古代米【赤米】（自然農）,product-v-199,,product-v-199,,0,inactive,0,,,680,680,,,,,,,,,,,,,,,,,,,,,,680,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和３年度自然農古代米【黒米】（自然農）,product-v-200,,product-v-200,,0,inactive,0,,,680,680,,,,,,,,,,,,,,,,,,,,,,680,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿波ポーク?ミンチ,product-v-201,,product-v-201,,0,active,1,,,800,800,,,,,,,,,,,,,,,,,,,,,,800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿波ポーク?バラ（しゃぶしゃぶ用・生姜焼き用・豚カツ用４切れ・ブロック）,product-v-202,,product-v-202,,0,active,1,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,1500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿波ポーク?ロース（しゃぶしゃぶ用・生姜焼き用・豚カツ用４切れ・ブロック）,product-v-203,,product-v-203,,0,active,1,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,1500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏ミンチ＊約５００g,product-v-204,,product-v-204,,0,active,1,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手羽先＊約５００g,product-v-205,,product-v-205,,0,active,1,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手羽元＊約５００g,product-v-206,,product-v-206,,0,active,1,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ササミ＊約５００g,product-v-207,,product-v-207,,0,active,1,,,800,800,,,,,,,,,,,,,,,,,,,,,,800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
若鶏ムネ（ブロック・唐揚げ用）＊約５００g,product-v-208,,product-v-208,,0,active,1,,,540,540,,,,,,,,,,,,,,,,,,,,,,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿波尾鶏?モモ（ブロック・唐揚げ用）,product-v-209,,product-v-209,,0,active,1,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,1500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【日時指定不可】ボーンブロスに神山鶏がら（小分け900g単位と10kgのいずれかをお選びください）,product-v-210,,product-v-210,,0,active,1,,,650,650,,,,,,,,,,,,,,,,,,,,,,650,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美味しいとうふ（もめん）,product-v-211,,product-v-211,,0,active,1,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
極上煮干,product-v-212,,product-v-212,,0,active,1,,,980,980,,,,,,,,,,,,,,,,,,,,,,980,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天然の健康食品。和田島ちりめん,product-v-213,,product-v-213,,0,active,1,,,660,660,,,,,,,,,,,,,,,,,,,,,,660,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島ひじき＊２５g【単品時は送料200円に修正】,product-v-214,,product-v-214,,0,active,1,,,440,440,,,,,,,,,,,,,,,,,,,,,,440,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿波ぬら徳島のばら干し海苔＊１１g【単品時は送料200円に修正】,product-v-215,,product-v-215,,0,active,1,,,400,400,,,,,,,,,,,,,,,,,,,,,,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島の海苔（８枚）【単品時は送料200円に修正】,product-v-216,,product-v-216,,0,active,1,,,400,400,,,,,,,,,,,,,,,,,,,,,,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島県椿泊産無添加塩蔵天然ワカメ！【クール便指定商品】,product-v-217,,product-v-217,,0,active,1,,,500,500,,,,,,,,,,,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本一の美味さ！NARUTOのワカメ,product-v-218,,product-v-218,,0,active,1,,,1300,1300,,,,,,,,,,,,,,,,,,,,,,1300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
干し原木椎茸（農薬不使用）,product-v-219,,product-v-219,,0,active,1,,,440,440,,,,,,,,,,,,,,,,,,,,,,440,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なめこ（農薬不使用）,product-v-220,,product-v-220,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堀脇さんちの肉厚椎茸（農薬不使用）＊約250g,product-v-221,,product-v-221,,0,inactive,0,,,480,480,,,,,,,,,,,,,,,,,,,,,,480,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大谷さんちの椎茸（農薬不使用）,product-v-222,,product-v-222,,0,active,1,,,300,300,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数量限定】美味しいイチゴ（農薬不使用・減農薬）,product-v-223,,product-v-223,,0,inactive,0,,,700,700,,,,,,,,,,,,,,,,,,,,,,700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農温州ミカン＊500g?1kg,product-v-224,,product-v-224,,0,inactive,0,,,360,360,,,,,,,,,,,,,,,,,,,,,,360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農薬不使用レモン,product-v-225,,product-v-225,,0,inactive,0,,,270,270,,,,,,,,,,,,,,,,,,,,,,270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銀杏（農薬不使用）,product-v-226,,product-v-226,,0,inactive,0,,,660,660,,,,,,,,,,,,,,,,,,,,,,660,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農黒大豆・白大豆,product-v-227,,product-v-227,,0,inactive,0,,,500,500,,,,,,,,,,,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自然農素煎り落花生（ピーナッツ）＊200g,product-v-228,,product-v-228,,0,inactive,0,,,800,800,,,,,,,,,,,,,,,,,,,,,,800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
